start_ip,end_ip,join_key,asn,domain,name,type,country
2604:2980:f604::,2604:2980:ffff:ffff:ffff:ffff:ffff:ffff,2604:2980:c000::,AS62943,bluebirdnetwork.com,Bluebird Network,isp,US
45.135.204.0,45.135.204.255,45.135.0.0,AS206375,netspeed.com.tr,NETSPEED INTERNET A.S.,isp,TR
240e:e8c:c000::,240e:e8c:ffff:ffff:ffff:ffff:ffff:ffff,240e:e8c:c000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2003:1e44:c000::,2003:1e44:ffff:ffff:ffff:ffff:ffff:ffff,2003:1e44:c000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2408:123:4000::,2408:123:7fff:ffff:ffff:ffff:ffff:ffff,2408:123:4000::,AS9595,ntt-me.co.jp,NTT-ME Corporation,isp,JP
2400:25b1::,2400:25b1:3fff:ffff:ffff:ffff:ffff:ffff,2400:25b1::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
106.42.212.0,106.42.215.255,106.42.0.0,AS137687,chinatelecom.cn,"Luoyang, Henan Province, P.R.China.",isp,CN
158.12.0.0,158.12.255.255,158.12.0.0,AS668,mail.mil,DoD Network Information Center,isp,US
2a02:b14a:4000::,2a02:b14a:7fff:ffff:ffff:ffff:ffff:ffff,2a02:b14a:4000::,AS1267,windtre.it,WIND TRE S.P.A.,isp,IT
211.169.136.0,211.169.177.255,211.169.0.0,AS3786,uplus.co.kr,LG DACOM Corporation,isp,KR
2c0e:cf3::,2c0e:cf3:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:cf3::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2408:421f:8000::,2408:421f:bfff:ffff:ffff:ffff:ffff:ffff,2408:421f:8000::,AS37963,alibabagroup.com,"Hangzhou Alibaba Advertising Co.,Ltd.",hosting,CN
2a09:c401:c000::,2a09:c401:ffff:ffff:ffff:ffff:ffff:ffff,2a09:c401:c000::,AS13032,knu.ua,Kyiv National Taras Shevchenko University,education,UA
103.164.70.0,103.164.71.255,103.164.0.0,AS139490,maxnetworks.in,Aspt Networks Pvt Ltd,isp,IN
2804:3a08:4000::,2804:3a08:7fff:ffff:ffff:ffff:ffff:ffff,2804:3a08:4000::,AS266066,i9va.net,I9VA TELECOM EIRELI,isp,BR
172.217.64.0,172.217.255.255,172.217.0.0,AS15169,google.com,Google LLC,business,US
240c:c5c6::,240c:c5c6:3fff:ffff:ffff:ffff:ffff:ffff,240c:c5c6::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2a01:190:15f::,2a01:190:15f:ffff:ffff:ffff:ffff:ffff,2a01:190::,AS51454,crif.com,CRIF GmbH,business,AT
