start_ip,end_ip,join_key,name,country,mcc,mnc
41.71.83.0,41.71.83.255,41.71.0.0,Telkom,ZA,655,2
5.115.241.0,5.115.241.255,5.115.0.0,Iran Cell Service and Communication Company,IR,432,35
2409:4042:2619::,2409:4042:261a:ffff:ffff:ffff:ffff:ffff,2409:4042::,Jio,IN,405,840
154.120.183.0,154.120.183.255,154.120.0.0,Orange,MG,646,2
213.31.132.0,213.31.132.255,213.31.0.0,BT,GB,234,76
2.27.125.0,2.27.126.255,2.27.0.0,EE,GB,235,1
2409:4065:19::,2409:4065:19:ffff:ffff:ffff:ffff:ffff,2409:4065::,Jio,IN,405,840
2001:268:e81a::,2001:268:e81a:ffff:ffff:ffff:ffff:ffff,2001:268:c000::,au,JP,440,50
129.45.14.0,129.45.16.255,129.45.0.0,Optimum-Telecom-Algeria,DZ,603,2
89.198.28.0,89.198.34.255,89.198.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
160.157.154.0,160.157.167.255,160.157.0.0,Orange,TN,605,1
2402:1980:82f0::,2402:1980:82f1:ffff:ffff:ffff:ffff:ffff,2402:1980:8000::,DiGi,MY,502,16
2a04:cec0:1018::,2a04:cec0:1018:ffff:ffff:ffff:ffff:ffff,2a04:cec0::,Bouygues Telecom,FR,208,20
5.214.97.0,5.214.97.255,5.214.0.0,Mobile Communication Company of Iran PLC,IR,432,11
2600:380:1990::,2600:380:1990:ffff:ffff:ffff:ffff:ffff,2600:380::,AT&T,US,310,16
2402:8100:3090::,2402:8100:3090:ffff:ffff:ffff:ffff:ffff,2402:8100::,Vodafone Idea,IN,404,1
91.103.104.0,91.103.105.255,91.103.0.0,Altel,KZ,401,7
2607:fb90:42ed::,2607:fb90:42ed:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,160
196.80.236.0,196.80.236.255,196.80.0.0,IAM,MA,604,1
182.249.214.0,182.249.214.255,182.249.0.0,au,JP,440,50
102.60.172.0,102.60.172.255,102.60.0.0,Etisalat,EG,602,3
152.207.240.0,152.207.247.255,152.207.0.0,CUBACEL,CU,368,1
176.203.67.0,176.203.67.255,176.203.0.0,Ooredoo,MM,414,5
2409:4064:38d::,2409:4064:38d:ffff:ffff:ffff:ffff:ffff,2409:4064::,Jio,IN,405,840
86.168.105.0,86.168.105.255,86.168.0.0,BT,GB,234,76
93.33.21.0,93.33.23.255,93.33.0.0,Fastweb,IT,222,8
2603:8081:1d40::,2603:8081:1d40:ffff:ffff:ffff:ffff:ffff,2603:8081::,Spectrum,US,312,500
146.199.95.0,146.199.95.255,146.199.0.0,Plusnet,GB,234,0
37.7.144.0,37.7.144.255,37.7.0.0,Plus,PL,260,1
203.124.28.0,203.124.31.255,203.124.0.0,Jazz,PK,410,7
160.170.78.0,160.170.78.255,160.170.0.0,IAM,MA,604,1
166.137.175.0,166.137.175.255,166.137.0.0,AT&T Wireless,US,310,32
87.49.144.0,87.49.159.255,87.49.0.0,TDC,DK,238,1
2a00:1fa2:84c4::,2a00:1fa2:84c4:ffff:ffff:ffff:ffff:ffff,2a00:1fa2:8000::,MTS PJSC,RU,251,1
2a00:1fa2:c2e4::,2a00:1fa2:c2e4:ffff:ffff:ffff:ffff:ffff,2a00:1fa2:c000::,MTS,RU,250,1
2607:fb90:e008::,2607:fb90:e00a:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,160
