start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country,
122.54.99.122,122.54.99.122,122.54.0.0,SMESFP2020091365496_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
109.200.18.0,109.200.18.63,109.200.0.0,Keylogic Ltd,mrisoftware.com,business,AS20860,IOMART CLOUD SERVICES LIMITED,iomart.com,hosting,GB,
108.179.245.223,108.179.245.223,108.179.0.0,WEBSITEWELCOME.COM (gator366.hostgator.com),websitewelcome.com,business,AS46606,Unified Layer,endurance.com,hosting,US,
12.180.170.208,12.180.170.223,12.180.0.0,L S P WHITEWATER,whitewatercogen.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
103.215.27.0,103.215.27.225,103.215.0.0,PT INDONESIA COMNETS PLUS,iconpln.net.id,isp,AS9341,PT Indonesia Comnets Plus,iconpln.net.id,isp,ID,
103.139.130.72,103.139.130.79,103.139.0.0,Ceridian Australia Pty. Ltd.,ceridian.com,business,AS6461,Zayo Bandwidth,zayo.com,isp,AU,
119.93.92.40,119.93.92.47,119.93.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.56.142.88,12.56.142.159,12.56.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.180.203.184,12.180.203.191,12.180.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
113.37.160.176,113.37.160.183,113.37.0.0,ARTERIA Networks Corp.,arteria-hikari.net,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
12.24.168.0,12.24.168.15,12.24.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.212.40.56,122.212.40.63,122.212.0.0,hot,hotinc.net,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
103.101.199.0,103.101.199.255,103.101.0.0,Carnival Internet,carnival.com.bd,isp,AS63526,Systems Solutions & development Technologies Limited,carnival.com.bd,isp,BD,
104.61.58.176,104.61.58.223,104.61.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.219.207.136,108.219.207.175,108.219.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.197.23.32,12.197.23.47,12.197.0.0,INTERCONTINENTAL HOTELS GROUP.,ihg.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
114.251.2.64,114.251.2.127,114.251.0.0,SEIKA-BJ-BRANCH,chinastock.com.cn,business,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,isp,CN,
124.106.59.57,124.106.59.57,124.106.0.0,2-6617425_ADS 360 DEGREES ENTERPRISES,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
124.107.149.211,124.107.149.211,124.107.0.0,2-5847217_DAELIM PHILIPPINES INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.217.91.8,122.217.91.15,122.217.0.0,ARTERIA Networks Corp.,arteria-hikari.net,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
122.52.173.31,122.52.173.31,122.52.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
104.130.84.20,104.130.84.39,104.130.0.0,Rackspace Hosting,rackspace.com,hosting,AS27357,Rackspace Hosting,rackspace.com,hosting,US,
108.245.136.16,108.245.136.23,108.245.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
124.105.127.64,124.105.127.64,124.105.0.0,23-511858_KENTUCKY FRIED CHICKEN SHAW BLVD,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.255.4.224,122.255.4.231,122.255.0.0,LOLC,wow.lk,isp,AS18001,Dialog Axiata PLC.,dialog.lk,isp,LK,
116.12.161.184,116.12.161.191,116.12.0.0,TURKISH EMBASSY,mfa.gov.tr,business,AS3758,SingNet,singnet.com.sg,isp,SG,
107.128.110.16,107.128.110.23,107.128.0.0,SANTA MONICA SEAFOOD-140313102455,santamonicaseafood.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.156.210.224,12.156.210.231,12.156.0.0,BAY COUNTY MEDICAL,baycountymcf.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
107.197.191.152,107.197.191.159,107.197.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.226.76.144,122.226.76.147,122.226.0.0,"Agricultural bank of China co., LTD. Yongkang city branch",hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
116.202.251.96,116.202.251.127,116.202.0.0,HOS-563863,hetzner.com,hosting,AS24940,Hetzner Online GmbH,hetzner.de,hosting,DE,
104.156.62.82,104.156.62.84,104.156.0.0,"HIVELOCITY, Inc.",hivelocity.net,hosting,AS29802,"HIVELOCITY, Inc.",hivelocity.net,hosting,,
109.71.169.128,109.71.169.143,109.71.0.0,Viacloud,viacloud.com,business,AS50173,GTT - EMEA Ltd.,gtt.net,business,GB,
108.253.99.56,108.253.99.71,108.253.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
110.117.0.0,110.117.255.255,110.117.0.0,China TieTong Telecommunications Corporation,cmtietong.com,isp,AS9394,China TieTong Telecommunications Corporation,chinatietong.com,isp,CN,
108.178.148.224,108.178.148.231,108.178.0.0,SPECTRUM FIBER DELIVERY ENTERPRISE,spectrum.com,isp,AS20001,Charter Communications Inc,charter.com,isp,US,
122.224.36.104,122.224.36.107,122.224.0.0,Shaoxing Fengguang Hotel Ltd,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
12.185.22.224,12.185.22.255,12.185.0.0,COUNTY OF SACRAMENTO 33500676,saccounty.net,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.144.193.80,12.144.193.103,12.144.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.96.185.176,12.96.185.183,12.96.0.0,NEW HORIZON COMMUNICATIONS CO,nhcgrp.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.207.41.200,12.207.41.207,12.207.0.0,ANDERSON SMITH  NULL,andersonsmith.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
115.236.63.160,115.236.63.167,115.236.0.0,Zheshang Property insurance incorporated company,zsins.com,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
116.197.134.116,116.197.134.117,116.197.0.0,PT Trafoindo Prima Perkasa jakarta,trafoindonesia.com,business,AS58369,PT. Fiber Networks Indonesia,fiber.net.id,isp,ID,
122.144.31.160,122.144.31.171,122.144.0.0,True Internet Corporation Co. Ltd.,trueinternet.co.th,isp,AS38082,"True International Gateway Co., Ltd.",trueinternetgateway.com,isp,TH,
12.9.194.112,12.9.194.119,12.9.0.0,TYLER TECHNOLOGY,tylertech.io,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.218.248.96,122.218.248.127,122.218.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
