start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
101.49.35.146,101.49.35.146,101.49.0.0,Richmond,Virginia,US,37.55376,-77.46026,23173,America/New_York
101.189.197.50,101.189.197.157,101.189.0.0,Brisbane,Queensland,AU,-27.42598,153.00288,4051,Australia/Brisbane
101.140.228.128,101.140.228.205,101.140.0.0,Ōtsu,Shiga,JP,35,135.86667,520-0043,Asia/Tokyo
103.180.104.0,103.180.105.255,103.180.0.0,Jessore,Khulna,BD,23.16971,89.21371,7402,Asia/Dhaka
102.168.193.72,102.168.193.72,102.168.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
105.93.223.53,105.93.223.53,105.93.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
108.206.187.164,108.206.187.165,108.206.0.0,Fort Worth,Texas,US,32.7002,-97.3789,76109,America/Chicago
107.15.138.136,107.15.138.139,107.15.0.0,Raleigh,North Carolina,US,35.8949,-78.7051,27613,America/New_York
104.138.226.143,104.138.226.151,104.138.0.0,Winston-Salem,North Carolina,US,36.1024,-80.2228,27101,America/New_York
102.169.20.120,102.169.20.120,102.169.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
104.183.40.20,104.183.40.35,104.183.0.0,Woodlands,California,US,35.02888,-120.55239,93444,America/Los_Angeles
1.217.165.192,1.217.165.197,1.217.0.0,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
101.49.23.104,101.49.23.107,101.49.0.0,Richmond,Virginia,US,37.55376,-77.46026,23173,America/New_York
108.228.75.36,108.228.75.39,108.228.0.0,Memphis,Tennessee,US,35.144,-90.048,38103,America/Chicago
101.191.233.16,101.191.233.23,101.191.0.0,Newcastle,New South Wales,AU,-32.94739,151.70034,2289,Australia/Sydney
103.103.148.0,103.103.149.255,103.103.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
102.106.39.141,102.106.39.141,102.106.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
104.36.33.0,104.36.33.42,104.36.0.0,New York City,New York,US,40.71427,-74.00597,10004,America/New_York
104.53.152.68,104.53.152.83,104.53.0.0,Waxahachie,Texas,US,32.38653,-96.84833,75165,America/Chicago
1.78.127.0,1.78.127.3,1.78.0.0,Chōfu,Tokyo,JP,35.6669,139.5285,182-0032,Asia/Tokyo
104.117.145.0,104.117.145.255,104.117.0.0,Los Angeles,California,US,34.05223,-118.24368,90009,America/Los_Angeles
101.175.67.148,101.175.67.148,101.175.0.0,Iluka,Western Australia,AU,-31.73554,115.73058,6028,Australia/Perth
102.168.149.6,102.168.149.12,102.168.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
106.208.11.231,106.208.11.232,106.208.0.0,Hyderābād,Telangana,IN,17.38405,78.45636,500001,Asia/Kolkata
103.30.247.36,103.30.247.93,103.30.0.0,Jakarta,Jakarta,ID,-6.21462,106.84513,,Asia/Jakarta
104.240.119.188,104.240.119.193,104.240.0.0,Bloomington,Illinois,US,40.4842,-88.99369,61701,America/Chicago
103.168.199.150,103.168.199.151,103.168.0.0,Kallakkurichchi,Tamil Nadu,IN,11.7404,78.959,606213,Asia/Kolkata
106.70.75.208,106.70.75.243,106.70.0.0,Brisbane,Queensland,AU,-27.50265,152.97678,4068,Australia/Brisbane
1.20.126.0,1.20.136.255,1.20.0.0,Lat Bua Luang,Phra Nakhon Si Ayutthaya,TH,14.1833,100.2833,10210,Asia/Bangkok
104.136.210.134,104.136.210.134,104.136.0.0,Crystal River,Florida,US,28.8547,-82.6669,34429,America/New_York
1.146.111.248,1.146.111.251,1.146.0.0,Townsville,Queensland,AU,-19.29718,146.76603,4814,Australia/Brisbane
108.253.19.176,108.253.19.183,108.253.0.0,Memphis,Tennessee,US,35.14953,-90.04898,37544,America/Chicago
1.20.157.52,1.20.157.53,1.20.0.0,Bang Mun Nak,Phichit,TH,16.02781,100.37917,66120,Asia/Bangkok
1.158.26.98,1.158.26.99,1.158.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
105.93.230.89,105.93.230.89,105.93.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
104.12.206.0,104.12.207.255,104.12.0.0,Austin,Texas,US,30.4036,-97.7526,78759,America/Chicago
108.59.30.23,108.59.30.23,108.59.0.0,Tallahassee,Florida,US,30.43826,-84.28073,32302,America/New_York
102.155.227.0,102.155.227.127,102.155.0.0,Hammam Sousse,Sūsah,TN,35.8609,10.60313,,Africa/Tunis
107.141.44.68,107.141.44.81,107.141.0.0,Coffeyville,Kansas,US,37.0373,-95.61637,67337,America/Chicago
101.177.129.72,101.177.129.75,101.177.0.0,Corella,Queensland,AU,-26.1,152.63333,4570,Australia/Brisbane
102.106.114.251,102.106.114.251,102.106.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
1.176.102.248,1.176.102.255,1.176.0.0,Busan,Busan,KR,35.10168,129.03004,48902,Asia/Seoul
101.174.124.72,101.174.124.79,101.174.0.0,Araluen,New South Wales,AU,-35.64589,149.81744,2622,Australia/Sydney
100.41.26.45,100.41.26.45,100.41.0.0,Philadelphia,Pennsylvania,US,39.95238,-75.16362,19099,America/New_York
108.170.234.73,108.170.234.73,108.170.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
107.12.78.48,107.12.78.49,107.12.0.0,Summerville,South Carolina,US,32.9756,-80.1831,29485,America/New_York
102.170.129.153,102.170.129.154,102.170.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
108.212.219.0,108.212.221.255,108.212.0.0,Nashville,Tennessee,US,36.16589,-86.78444,37201,America/Chicago
104.158.92.52,104.158.92.53,104.158.0.0,Toronto,Ontario,CA,43.70011,-79.4163,M5A,America/Toronto
100.139.215.0,100.139.215.127,100.139.0.0,Houston,Texas,US,29.6889,-95.4341,77025,America/Chicago
105.247.139.211,105.247.139.213,105.247.0.0,Pretoria,Gauteng,ZA,-25.74486,28.18783,0083,Africa/Johannesburg
106.124.125.0,106.124.125.127,106.124.0.0,Nanjing,Jiangsu,CN,32.06167,118.77778,,Asia/Shanghai
106.214.209.100,106.214.209.100,106.214.0.0,Ludhiāna,Punjab,IN,30.91204,75.85379,141120,Asia/Kolkata
101.180.143.152,101.180.143.176,101.180.0.0,Melbourne,Victoria,AU,-37.77535,145.00455,3070,Australia/Melbourne
101.180.25.244,101.180.25.255,101.180.0.0,Sydney,New South Wales,AU,-33.89072,151.26472,2026,Australia/Sydney
105.139.123.128,105.139.123.255,105.139.0.0,Salé Al Jadida,Rabat-Salé-Kénitra,MA,33.99722,-6.74047,,Africa/Casablanca
106.67.135.57,106.67.135.58,106.67.0.0,Nagpur,Maharashtra,IN,21.14631,79.08491,440003,Asia/Kolkata
104.4.53.0,104.4.53.67,104.4.0.0,Gulfport,Mississippi,US,30.4601,-89.0886,39503,America/Chicago
1.38.134.138,1.38.134.141,1.38.0.0,Dimāpur,Nagaland,IN,25.91174,93.7217,797112,Asia/Kolkata
106.220.193.144,106.220.193.171,106.220.0.0,Pune,Maharashtra,IN,18.51957,73.85535,411001,Asia/Kolkata
104.240.45.190,104.240.45.201,104.240.0.0,Chinle,Arizona,US,36.15445,-109.55261,86503,America/Denver
108.214.255.0,108.214.255.255,108.214.0.0,Bay City,Texas,US,28.8636,-95.9173,77414,America/Chicago
101.5.162.224,101.5.162.235,101.5.0.0,Shanghai,Shanghai,CN,31.22222,121.45806,,Asia/Shanghai
108.193.172.0,108.193.172.255,108.193.0.0,Johns Creek,Georgia,US,34.02893,-84.19858,30022,America/New_York
1.54.5.37,1.54.5.37,1.54.0.0,Bạc Liêu,Bạc Liêu,VN,9.29414,105.72776,97150,Asia/Ho_Chi_Minh
102.168.133.1,102.168.133.3,102.168.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
108.59.66.224,108.59.66.231,108.59.0.0,Rawdon,Quebec,CA,46.05007,-73.71587,J6E,America/Toronto
108.245.182.156,108.245.182.157,108.245.0.0,Howard,Wisconsin,US,44.5436,-88.08816,54303,America/Chicago
106.71.91.196,106.71.91.199,106.71.0.0,Gympie,Queensland,AU,-26.18979,152.66499,4570,Australia/Brisbane
108.94.2.132,108.94.2.132,108.94.0.0,Cobb,California,US,38.82213,-122.72305,95426,America/Los_Angeles
105.184.78.230,105.184.78.230,105.184.0.0,Witbank,Mpumalanga,ZA,-25.8667,29.2333,1044,Africa/Johannesburg
100.206.21.128,100.206.21.255,100.206.0.0,Paterson,New Jersey,US,40.9309,-74.1555,07524,America/New_York
105.93.164.154,105.93.164.154,105.93.0.0,Banī Suwayf,Beni Suweif,EG,29.07441,31.09785,,Africa/Cairo
104.247.226.107,104.247.226.107,104.247.0.0,Tecumseh,Ontario,CA,42.2946,-82.8667,N8N,America/Toronto
102.169.117.139,102.169.117.144,102.169.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
102.169.57.44,102.169.57.44,102.169.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
106.217.63.176,106.217.63.195,106.217.0.0,Mangalore,Karnataka,IN,12.91723,74.85603,583230,Asia/Kolkata
1.226.99.0,1.226.99.255,1.226.0.0,Daejeon,Daejeon,KR,36.3524,127.3606,35274,Asia/Seoul
102.135.178.64,102.135.178.65,102.135.0.0,Goma,Nord Kivu,CD,-1.67409,29.22845,,Africa/Lubumbashi
101.33.236.160,101.33.236.207,101.33.0.0,Shenzhen,Guangdong,CN,22.54554,114.0683,,Asia/Shanghai
106.214.215.54,106.214.215.55,106.214.0.0,Ludhiāna,Punjab,IN,30.91204,75.85379,141120,Asia/Kolkata
108.196.230.154,108.196.230.157,108.196.0.0,Stillwater,Oklahoma,US,36.1396,-97.063,74075,America/Chicago
