start_ip,end_ip,join_key,size,domain
103.109.106.139,103.109.106.139,103.109.0.0,1,ucqkn.cn
113.20.31.68,113.20.31.68,113.20.0.0,1,siprama.com
103.168.18.210,103.168.18.210,103.168.0.0,1,iqrasystem.com
109.168.159.226,109.168.159.227,109.168.0.0,2,stavropol.ru
109.190.141.63,109.190.141.63,109.190.0.0,1,transacom.fr
103.115.12.144,103.115.12.144,103.115.0.0,1,dfdesign.com.au
109.190.227.58,109.190.227.83,109.190.0.0,26,ovh.fr
113.252.61.92,113.252.61.92,113.252.0.0,1,92-61-252-113-on-nets.com
110.34.166.80,110.34.166.84,110.34.0.0,5,krypt.com
103.161.133.177,103.161.133.177,103.161.0.0,1,florajet.com
104.206.82.244,104.206.82.245,104.206.0.0,2,goldenterm.net
103.140.132.4,103.140.132.4,103.140.0.0,1,metrolink.com.np
107.190.142.156,107.190.142.156,107.190.0.0,1,transtio.live
113.11.72.96,113.11.72.96,113.11.0.0,1,113-11-72-96-smile.com.bd
108.166.153.250,108.166.153.250,108.166.0.0,1,bsscompany.com
113.252.181.140,113.252.181.140,113.252.0.0,1,140-181-252-113-on-nets.com
103.16.15.4,103.16.15.8,103.16.0.0,5,spim.co
111.89.254.158,111.89.254.158,111.89.0.0,1,nttpc.ne.jp
104.227.85.147,104.227.85.254,104.227.0.0,108,patureachese.com
104.140.188.211,104.140.188.211,104.140.0.0,1,spinecool.space
109.74.242.103,109.74.242.103,109.74.0.0,1,tribeca-it.com
104.237.128.14,104.237.128.14,104.237.0.0,1,coltarus.net
111.118.160.134,111.118.160.134,111.118.0.0,1,crucialx.net
101.0.77.220,101.0.77.221,101.0.0.0,2,hootsuitee.org
101.187.13.134,101.187.13.135,101.187.0.0,2,telstra.net
1.39.244.1,1.39.244.254,1.39.0.0,254,vodafone.in
1.33.177.14,1.33.177.14,1.33.0.0,1,mtmjp.com
108.178.58.144,108.178.58.144,108.178.0.0,1,petronova.com
113.252.243.147,113.252.243.147,113.252.0.0,1,147-243-252-113-on-nets.com
104.238.136.14,104.238.136.33,104.238.0.0,20,vultrusercontent.com
111.90.142.100,111.90.142.100,111.90.0.0,1,kamon.la
1.33.179.54,1.33.179.54,1.33.0.0,1,suzuki-seikou.com
104.207.235.234,104.207.235.248,104.207.0.0,15,nexcess.net
110.164.124.1,110.164.124.254,110.164.0.0,254,3bb.co.th
109.0.85.167,109.0.85.173,109.0.0.0,7,sfr.net
109.61.3.94,109.61.3.94,109.61.0.0,1,jogseged.hu
103.150.61.75,103.150.61.75,103.150.0.0,1,103.in-addr.arpa
106.75.55.195,106.75.55.195,106.75.0.0,1,theworkingmail.life
113.252.219.164,113.252.219.164,113.252.0.0,1,164-219-252-113-on-nets.com
107.222.166.137,107.222.166.137,107.222.0.0,1,chei.net
109.226.79.1,109.226.79.255,109.226.0.0,255,100megabit.ru
104.37.68.240,104.37.68.240,104.37.0.0,1,104-37-68-240-4siwi.net
109.169.51.146,109.169.51.146,109.169.0.0,1,dns4vps.com
108.61.12.144,108.61.12.151,108.61.0.0,8,constant.com
108.2.173.1,108.2.173.1,108.2.0.0,1,verizon-gni.net
104.132.176.64,104.132.176.111,104.132.0.0,48,google.com
103.26.101.16,103.26.101.16,103.26.0.0,1,lintas.me
104.216.1.58,104.216.1.62,104.216.0.0,5,germinated.net
109.232.194.159,109.232.194.159,109.232.0.0,1,eden-park.fr
104.200.26.14,104.200.26.15,104.200.0.0,2,linode.com
113.11.95.107,113.11.95.107,113.11.0.0,1,113-11-95-107-smile.com.bd
109.235.147.178,109.235.147.178,109.235.0.0,1,icloudhosting.com
109.68.230.18,109.68.230.20,109.68.0.0,3,syseleven.de
103.244.204.146,103.244.204.146,103.244.0.0,1,wds.co.id
104.193.74.20,104.193.74.20,104.193.0.0,1,databank.host
104.131.61.85,104.131.61.85,104.131.0.0,1,unbelievablesupercool.com
108.14.64.1,108.14.64.1,108.14.0.0,1,verizon-gni.net
108.166.104.82,108.166.104.82,108.166.0.0,1,cloud-ips.com
104.219.131.140,104.219.131.141,104.219.0.0,2,coool.ca
109.128.69.97,109.128.69.102,109.128.0.0,6,belgacom.be
109.74.198.78,109.74.198.78,109.74.0.0,1,linode.com
100.43.92.126,100.43.92.126,100.43.0.0,1,yndx.net
109.199.108.8,109.199.108.8,109.199.0.0,1,siteground.com
109.190.207.87,109.190.207.87,109.190.0.0,1,transacom.fr
109.234.71.33,109.234.71.33,109.234.0.0,1,kyroslbs.com
113.252.91.171,113.252.91.171,113.252.0.0,1,171-91-252-113-on-nets.com
109.197.144.249,109.197.144.249,109.197.0.0,1,chukotka.org
110.145.198.221,110.145.198.222,110.145.0.0,2,telstra.net
103.69.28.215,103.69.28.215,103.69.0.0,1,103-215.in-addr.arpa
107.158.6.71,107.158.6.71,107.158.0.0,1,innervaleriaswar.com
108.41.80.12,108.41.80.254,108.41.0.0,243,verizon.net
101.0.105.10,101.0.105.12,101.0.0.0,3,smartservers.com.au
103.234.84.198,103.234.84.198,103.234.0.0,1,income.com.sg
107.6.166.40,107.6.166.47,107.6.0.0,8,singlehop.net
104.207.244.205,104.207.244.205,104.207.0.0,1,alaskagear.biz
113.252.72.250,113.252.72.250,113.252.0.0,1,250-72-252-113-on-nets.com
103.211.212.2,103.211.212.2,103.211.0.0,1,hoabinh.gov.vn
104.131.13.85,104.131.13.85,104.131.0.0,1,ondigitalocean.com
102.141.184.77,102.141.184.77,102.141.0.0,1,102-141-184-77.in-addr.arpa
113.252.116.52,113.252.116.52,113.252.0.0,1,52-116-252-113-on-nets.com
108.47.9.111,108.47.9.175,108.47.0.0,65,frontiernet.net
104.238.158.242,104.238.158.242,104.238.0.0,1,k1k2.com
103.73.190.111,103.73.190.113,103.73.0.0,3,rackbank.com
101.187.180.147,101.187.180.150,101.187.0.0,4,telstra.net
113.159.49.1,113.159.60.255,113.159.0.0,3071,dion.ne.jp
106.143.237.0,106.143.237.255,106.143.0.0,256,au-net.ne.jp
108.83.36.114,108.83.36.114,108.83.0.0,1,duckforward.com
113.252.43.158,113.252.43.158,113.252.0.0,1,158-43-252-113-on-nets.com
109.168.88.195,109.168.88.221,109.168.0.0,27,kpnqwest.it
109.195.230.242,109.195.230.242,109.195.0.0,1,mkc-red.ru
103.57.211.253,103.57.211.253,103.57.0.0,1,email-nhanhoa.net
108.166.179.73,108.166.179.78,108.166.0.0,6,vidyamantra.com
103.151.31.11,103.151.31.11,103.151.0.0,1,103-151-31-11-brightstarnetwork.net.bd
113.252.215.64,113.252.215.64,113.252.0.0,1,64-215-252-113-on-nets.com
104.219.107.195,104.219.107.195,104.219.0.0,1,f5networks.net
103.116.202.1,103.116.202.254,103.116.0.0,254,hsp.net
113.252.56.37,113.252.56.37,113.252.0.0,1,37-56-252-113-on-nets.com
100.34.21.1,100.34.21.1,100.34.0.0,1,verizon-gni.net
103.250.168.40,103.250.168.40,103.250.0.0,1,streamanalytix.com
109.199.107.172,109.199.107.173,109.199.0.0,2,sgvps.net
100.36.241.1,100.36.241.1,100.36.0.0,1,verizon-gni.net
107.152.135.44,107.152.135.44,107.152.0.0,1,expressprg.com
103.31.98.92,103.31.98.92,103.31.0.0,1,onenetwork.io
101.1.153.1,101.1.153.254,101.1.0.0,254,pikara.ne.jp
103.122.164.151,103.122.164.151,103.122.0.0,1,realtiter.info
103.16.182.242,103.16.182.243,103.16.0.0,2,unisza.edu.my
111.119.24.29,111.119.24.30,111.119.0.0,2,llnw.net
104.232.91.96,104.232.91.96,104.232.0.0,1,104-232-91-96.in-addr.arpa
110.55.232.230,110.55.232.255,110.55.0.0,26,bti.net.ph
109.206.211.25,109.206.211.25,109.206.0.0,1,skynet.net.pl
104.36.14.209,104.36.14.209,104.36.0.0,1,forsythshirt.com
104.151.225.0,104.151.227.255,104.151.0.0,768,scalabledns.com
108.170.32.23,108.170.32.25,108.170.0.0,3,phoenixvps.com
103.41.62.211,103.41.62.242,103.41.0.0,32,open.ad.jp
109.0.118.237,109.0.118.237,109.0.0.0,1,gaoland.net
102.141.168.237,102.141.168.237,102.141.0.0,1,102-141-168-237.in-addr.arpa
109.132.202.39,109.132.202.40,109.132.0.0,2,belgacom.be
108.248.95.18,108.248.95.56,108.248.0.0,39,sbcglobal.net
103.251.94.111,103.251.94.111,103.251.0.0,1,ncrdns.net
109.75.210.50,109.75.210.50,109.75.0.0,1,bogm.de
109.130.55.247,109.130.55.247,109.130.0.0,1,belgacom.be
103.46.230.3,103.46.230.3,103.46.0.0,1,edgeix.net.au
103.98.74.92,103.98.74.92,103.98.0.0,1,hostinginside.com
107.172.131.136,107.172.131.145,107.172.0.0,10,colocrossing.com
113.161.157.219,113.161.159.255,113.161.0.0,549,vnpt.vn
108.61.57.136,108.61.57.137,108.61.0.0,2,choopa.net
104.219.168.1,104.219.168.1,104.219.0.0,1,peaktera.net
113.11.111.93,113.11.111.93,113.11.0.0,1,113-11-111-93-smile.com.bd
108.167.149.166,108.167.149.166,108.167.0.0,1,m3software.com.br
109.121.240.17,109.121.240.19,109.121.0.0,3,bulsat.com
103.10.34.240,103.10.34.240,103.10.0.0,1,240-thecavalry.com.au
103.93.17.109,103.93.17.109,103.93.0.0,1,
111.168.23.51,111.168.23.51,111.168.0.0,1,mesh.ad.jp
109.74.193.191,109.74.193.191,109.74.0.0,1,linodeusercontent.com
113.252.25.172,113.252.25.172,113.252.0.0,1,172-25-252-113-on-nets.com
109.160.70.149,109.160.70.149,109.160.0.0,1,ip-70-149-fibernet.bg
109.228.4.84,109.228.4.85,109.228.0.0,2,software-improve.com
103.176.87.231,103.176.87.231,103.176.0.0,1,87-231-goldcable.net
108.255.208.87,108.255.208.98,108.255.0.0,12,sbcglobal.net
110.145.139.77,110.145.139.78,110.145.0.0,2,telstra.net
110.142.152.246,110.142.152.246,110.142.0.0,1,telstra.net
104.160.67.140,104.160.67.175,104.160.0.0,36,getresponse-mail.com
103.18.81.22,103.18.81.22,103.18.0.0,1,22-megaspeednet.com
109.236.110.33,109.236.110.33,109.236.0.0,1,fgup-etb.ru
109.188.128.136,109.188.128.139,109.188.0.0,4,yota.ru
110.143.126.98,110.143.126.98,110.143.0.0,1,telstra.net
102.141.166.144,102.141.166.144,102.141.0.0,1,102-141-166-144.in-addr.arpa
103.253.92.120,103.253.92.121,103.253.0.0,2,summithosting.com.au
104.140.142.115,104.140.142.115,104.140.0.0,1,afterlights.net
113.252.3.10,113.252.3.10,113.252.0.0,1,10-3-252-113-on-nets.com
